architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r,NF-BoT-IoT,retained,0.9919588292055324,0.6908609366332027,0.9991085899513776,0.9928329843775165,0.9959609015267792,0.690042232601421,0.9987755881969961,0.03545061222501034,14.0,22.0,178.0,24658.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r,NF-CSE-CIC-IDS2018,retained,0.9821878604075007,0.938486301291998,0.9958833619210977,0.8775695284159613,0.9329905190422626,0.942454927257634,0.9165749170123431,0.09748276322796111,20091.0,12.0,405.0,2903.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r,RETAINED_MACRO,retained_macro,0.9910327239452968,0.874925576166163,0.9966618980167326,0.9538914444141184,0.9740269049200574,0.877431179742496,0.9702954202463124,0.04743930348010339,39475.0,42.0,597.0,29151.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r@lr=0.001,NF-UNSW-NB15,retained,0.9915165379849394,0.9462292251618862,0.9958275382475661,0.8927680798004988,0.9414858645627876,0.999451778233228,0.9960765988337159,0.02213675227066289,19372.0,6.0,172.0,1432.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r@lr=0.001,NF-ToN-IoT,forgotten,0.8671785468714187,0.7640371754558631,0.8641200545702592,0.9749114976142835,0.916178491357489,0.7222719627715121,0.8058423003324022,1.046527724578814,1233.0,996.0,163.0,6334.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r@lr=0.001,NF-BoT-IoT,retained,0.9945320038597619,0.6644118752348741,0.9990302246646193,0.9954904171364148,0.9972571797353985,0.6589504930119361,0.9989494981386275,0.017641476562163763,12.0,24.0,112.0,24724.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r@lr=0.001,NF-CSE-CIC-IDS2018,retained,0.9027807440946564,0.6563643201839426,0.9971098265895953,0.3128778718258767,0.4763000460193281,0.8392708100441132,0.6848667115953071,0.3433390036984254,20100.0,3.0,2273.0,1035.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r@lr=0.001,RETAINED_MACRO,retained_macro,0.9629430953131193,0.7556684735269009,0.997322529833927,0.73371212292093,0.8050143634391714,0.8325576937630924,0.8932976028558836,0.12770574417708402,39484.0,33.0,2557.0,27191.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,retrained,NF-UNSW-NB15,retained,0.9994280812124678,0.9979748610721106,0.9962593516209476,0.9962593516209476,0.9962593516209476,0.9998777439721988,0.9971309629516614,0.0030654154669846156,19372.0,6.0,6.0,1598.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,retrained,NF-ToN-IoT,forgotten,0.7541829016731607,0.7037758670133359,0.8548597521200261,0.8068339233492381,0.8301528228680022,0.6749064153776879,0.7831514563968744,0.6606260285670927,1339.0,890.0,1255.0,5242.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,retrained,NF-BoT-IoT,retained,0.9906320360244452,0.7595403625561461,0.9993099809230019,0.9913029473345144,0.9952903603986013,0.9267315813961811,0.999872273320636,0.021748621294427048,19.0,17.0,216.0,24620.0,24872.0,0.9985525892569959
